Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Total Shares Out. on Balance Sheet Date,77.46149,103.8461,126.923,165.642309,166.586482,167.469016,168.186908,168.268123,168.598555,168.855818,259.757539,PNBHOUSING
Book Value/Share,120.593858,152.025641,169.071011,336.708056,394.230067,450.465416,475.528689,530.286416,585.510949,652.26417,576.477589,PNBHOUSING
Book Value/Share (Reported),142.2,152.03,,,394.22,450.46,475.49,530,586,652,,PNBHOUSING
Tangible Book Value,9331.77,15774.51,21359.4,55666.8,65487.4,75183.3,79695.2,88997.7,98500.7,109967.7,149480.5,PNBHOUSING
Tangible Book Value/Share,120.469797,151.902767,168.286283,336.066312,393.11353,448.938566,473.84901,528.904099,584.232172,651.252064,575.461642,PNBHOUSING
Total Debt,102886.32,167944.88,267196.8,362748.8,439311.2,598517.8,527948,439520.4,368334.3,375994.6,372583.7,PNBHOUSING
Debt Equiv. of Unfunded Proj. Benefit Obligation,21.84,41.07,-5.2,9.3,2.5,12.2,-4.1,-18.9,-9.9,-2.8,,PNBHOUSING
Net Debt,101502.1,165013.46,264711.4,361234.1,400710.4,555476,440318.7,368805,302770.9,323417.8,345164.3,PNBHOUSING
Full Time Employees,469,631,752,999,1290,1609,1549,1391,1425,1690,,PNBHOUSING
Filing Date,,,,,,,,,,,,PNBHOUSING
Restatement Type,,,,,,,,,,,,PNBHOUSING
Calculation Type,,,,,,,,,,,,PNBHOUSING
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,PNBHOUSING
,,,,,,,,,,,,PNBHOUSING
Cash And Equivalents,1155.711,410.962,664.829,190.285,1456.299,3003.189,8463.093,8468.867,5212.689,4152.147,13787.027,PNCINFRA
Short Term Investments,127.79,8.774,111.889,678.615,1403.335,2892.944,4250.11,5550.505,5283.485,5214.796,5108.548,PNCINFRA
Total Cash & ST Investments,1283.501,419.736,776.718,868.9,2859.634,5896.133,12713.203,14019.372,10496.174,9366.943,18895.575,PNCINFRA
Accounts Receivable,1917.038,2644.176,4244.242,6682.847,5945.348,5194.126,2840.579,3927.859,6657.548,10987.755,16329.45,PNCINFRA
Other Receivables,7.591,14.878,12.621,14.827,19.168,41.418,71.048,38.178,65.475,77.522,,PNCINFRA
Notes Receivable,,,702.496,,513.924,828.509,2565.181,2797.156,2698.7,,,PNCINFRA
Total Receivables,1924.629,2659.054,4959.359,6697.674,6478.44,6064.053,5476.808,6763.193,9421.723,11065.277,16329.45,PNCINFRA
Inventory,1048.345,2225.263,2363.775,1534.787,1757.507,4035.509,2672.893,3535.949,4807.896,7643.927,7650.125,PNCINFRA
Restricted Cash,,,223.404,92.066,68.116,119.845,149.745,152.131,522.64,195.681,,PNCINFRA
Other Current Assets,1566.343,1824.185,1550.517,2384.183,2942.984,3282.82,2826.75,3629.634,3636.295,3963.799,3759.271,PNCINFRA
Total Current Assets,5822.818,7128.238,9873.773,11577.61,14106.681,19398.36,23839.399,28100.279,28884.728,32235.627,46634.421,PNCINFRA
"Gross Property, Plant & Equipment",2965.18,3953.024,4419.456,4592.274,5906.443,8746.326,9582.258,11345.737,11509.445,11930.615,,PNCINFRA
Accumulated Depreciation,-1356.4,-1728,-2230.8,-1002,-1702.8,-2517.3,-3671.4,-4737.1,-5598.9,-6584.3,,PNCINFRA
"Net Property, Plant & Equipment",1608.742,2225.005,2188.663,3590.265,4203.686,6229.021,5910.848,6608.687,5910.55,5346.363,4754.583,PNCINFRA
Long-term Investments,923.287,928.791,559.596,1028.257,1062.707,1174.694,363.805,406.475,5.554,5.554,5.554,PNCINFRA
Goodwill,1.159,1.159,1.159,0.27,0.417,7.346,90.688,107.872,217.621,283.29,,PNCINFRA
Other Intangibles,10804.762,19429.079,22300.777,20535.89,18694.636,16164.066,13779.43,11287.099,8687.745,7277.504,6837.218,PNCINFRA
Accounts Receivable Long-Term,,,10904.987,11611.87,16402.601,21959.688,33246.223,40430.734,51843.732,68235.505,82302.188,PNCINFRA
"Deferred Tax Assets, LT",,,518.007,1149.98,1766.876,2049.533,1583.637,415.104,60.41,,,PNCINFRA
"Deferred Charges, LT",15.868,39.695,0.047,0,0.288,305.014,,,,,,PNCINFRA
Other Long-Term Assets,1029.405,1222.285,2524.163,2691,2782.41,5255.985,6088.967,8396.232,10838.417,12937.387,15568.177,PNCINFRA
Total Assets,20206.041,30974.252,48871.172,52185.1,59020.302,72543.707,84902.997,95752.482,106448.757,126321.23,156102.141,PNCINFRA
LIABILITIES,,,,,,,,,,,,PNCINFRA
Accounts Payable,874.882,1111.353,2046.226,2767.715,4726.866,4787.905,4757.604,7260.952,5142.729,6882.229,9529.983,PNCINFRA
Accrued Exp.,324.886,338.977,218.711,255.778,1268.345,1090.035,945.537,1397.125,1010.411,1246.748,504.256,PNCINFRA
Short-term Borrowings,2428.685,3283.452,301.039,1212.866,225.067,194.967,162.941,201.829,140.662,2122.074,,PNCINFRA
Curr. Port. of LT Debt,390.928,575.207,474.496,1118.288,1556.596,2406.288,2527.303,4334.1,4281.783,4998.601,7522.905,PNCINFRA
Curr. Port. of Leases,,,,,,,23.689,18.022,36.21,32.834,27.513,PNCINFRA
Curr. Income Taxes Payable,5.074,189.905,192.946,209.806,138.974,159.534,131.263,401.619,183.308,614.939,,PNCINFRA
"Unearned Revenue, Current",315.429,334.552,1770.659,1348.608,1436.275,1482.72,2844.448,920.471,4773.045,1493.855,,PNCINFRA
Other Current Liabilities,276.084,767.236,312.791,471.923,415.019,1308.341,770.69,1821.299,1584.178,1647.736,4890.139,PNCINFRA
Total Current Liabilities,4615.968,6600.682,5316.868,7384.984,9767.142,11429.79,12163.475,16355.417,17152.326,19039.016,22474.796,PNCINFRA
Long-Term Debt,7431.239,13065.607,15713.421,16733.656,18427.243,25150.727,32460.182,37348.911,43365.927,55592.621,72641.673,PNCINFRA
Long-Term Leases,,,,,,,44.405,18.846,104.833,68.94,61.225,PNCINFRA
"Unearned Revenue, Non-Current",604.054,1874.634,889.139,640.403,1535.18,4289.014,3660.237,1830.32,1580.508,1866.759,,PNCINFRA
Pension & Other Post-Retire. Benefits,30.229,34.117,19.223,31.41,40.999,68.173,54.603,67.835,162.789,182.185,,PNCINFRA
"Def. Tax Liability, Non-Curr.",30.556,9.728,631.573,,,,,,,211.787,6.624,PNCINFRA
Other Non-Current Liabilities,396.207,678.159,12721.779,12784.25,12362.508,11362.152,10977.497,9604.302,7803.658,6509.489,9069.628,PNCINFRA
Total Liabilities,13108.253,22262.927,35292.003,37574.703,42133.072,52299.856,59360.399,65225.631,70170.041,83470.797,104253.946,PNCINFRA
Common Stock,398.078,398.078,513.078,513.078,513.078,513.078,513.078,513.078,513.078,513.078,513.078,PNCINFRA
Additional Paid In Capital,1844.89,1844.89,5901.873,5900.967,5900.967,5901.274,5901.604,5901.818,5902.192,5902.509,,PNCINFRA
Retained Earnings,3879.401,4683.143,7163.708,8196.268,10473.074,13829.476,19127.916,24116.705,29865.656,36434.846,,PNCINFRA
Treasury Stock,,,,,,,,,,,,PNCINFRA
Comprehensive Inc. and Other,974.9,1784.701,,,,,,,,,51335.117,PNCINFRA
Total Common Equity,7097.269,8710.812,13578.659,14610.313,16887.119,20243.828,25542.598,30531.601,36280.926,42850.433,51848.195,PNCINFRA
Minority Interest,0.519,0.513,0.51,0.084,0.111,0.023,,-4.8,-2.2,,,PNCINFRA
Total Equity,7097.788,8711.325,13579.169,14610.397,16887.23,20243.851,25542.598,30526.851,36278.716,42850.433,51848.195,PNCINFRA
Total Liabilities And Equity,20206.041,30974.252,48871.172,52185.1,59020.302,72543.707,84902.997,95752.482,106448.757,126321.23,156102.141,PNCINFRA
Supplemental Items,,,,,,,,,,,,PNCINFRA
Total Shares Out. on Filing Date,199.039165,199.039165,256.539165,256.539165,256.539165,256.539165,256.539165,256.539165,256.539165,256.539165,256.574141,PNCINFRA
Total Shares Out. on Balance Sheet Date,199.039165,199.039165,256.539165,256.539165,256.539165,256.539165,256.539165,256.539165,256.539165,256.539165,256.574141,PNCINFRA
Book Value/Share,35.65765,43.764311,52.930159,56.951588,65.82667,78.911257,99.566076,119.01341,141.424511,167.032714,202.078801,PNCINFRA
Tangible Book Value,-3708.7,-10719.4,-8723.3,-5925.8,-1807.9,4072.416,11672.48,19136.63,27375.56,35289.639,45010.977,PNCINFRA
Tangible Book Value/Share,-18.63,-53.86,-34,-23.1,-7.05,15.874441,45.499797,74.595354,106.711035,137.560434,175.430683,PNCINFRA
Total Debt,10250.852,16924.266,16488.956,19064.81,20208.906,27751.982,35218.52,41921.708,47929.415,62815.07,80253.316,PNCINFRA
Net Debt,8967.351,16504.53,15712.238,18195.91,17349.272,21855.849,22505.317,27902.336,37433.241,53448.127,61357.741,PNCINFRA
Debt Equiv. of Unfunded Proj. Benefit Obligation,47.231,52.732,33.395,46.192,63.74,91.742,89.414,111.214,169.892,189.971,,PNCINFRA
Debt Equivalent Oper. Leases,835.008,869.776,881.08,997.6,1208.152,1520.16,2044.648,3245.08,5819.76,3483.104,,PNCINFRA
Total Minority Interest,0.519,0.513,0.51,0.084,0.111,0.023,,-4.8,-2.2,,,PNCINFRA
Equity Method Investments,679,679,553.329,346.075,286.38,293.373,358.251,400.921,,,,PNCINFRA
Inventory Method,,,,,,,,,,,,PNCINFRA
Raw Materials Inventory,731.081,1277.857,1847.558,1208.501,1412.519,3247.388,2165.941,2998.713,4251.804,6388.688,,PNCINFRA
Work in Progress Inventory,124.021,724.836,379.77,131.644,71.239,343.083,,,,526,,PNCINFRA
Other Inventory Accounts,193.243,222.57,136.447,194.642,273.749,445.038,506.952,537.236,556.092,729.239,,PNCINFRA
Land,10.919,14.529,14.529,20.269,20.269,25.739,50.493,50.493,39.574,55.647,,PNCINFRA
Buildings,343.621,421.188,452.18,229.576,239.071,234.386,230.114,230.135,230.135,230.135,,PNCINFRA
Machinery,2594.847,3460.673,3934.065,4264.267,5535.739,8424.151,598.925,682.139,827.255,903.925,,PNCINFRA
Construction in Progress,15.793,56.634,18.682,78.162,111.364,62.05,,34.159,,,,PNCINFRA
Full Time Employees,2594,3776,3039,2842,5775,7467,7310,8564,8796,8320,,PNCINFRA
Accum. Allowance for Doubtful Accts,,,,,,,,54.662,441.812,138.107,,PNCINFRA
Order Backlog,,,,,,,,,,156760,,PNCINFRA
Filing Date,,,,,,,,,,,,PNCINFRA
Restatement Type,,,,,,,,,,,,PNCINFRA
Calculation Type,,,,,,,,,,,,PNCINFRA
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,PNCINFRA
,,,,,,,,,,,,PNCINFRA
Cash And Equivalents,138.253,199.83,217.255,10.609,37.008,43.176,48.574,49.546,77.574,70.624,1468.583,POLYMED
Short Term Investments,,,,214.568,165.404,500.505,201.923,243.005,73.158,1756.329,1395.41,POLYMED
Trading Asset Securities,,,,,106.181,2.676,159.221,3450.125,3365.972,1185.922,,POLYMED
Total Cash & ST Investments,138.253,199.83,217.255,225.177,308.593,546.357,409.718,3742.676,3516.704,3012.875,2863.993,POLYMED
Accounts Receivable,457.537,628.073,829.771,955.313,1125.432,1283.826,1271.171,1558.631,2066.289,2354.32,2699.388,POLYMED
Other Receivables,73.785,66.542,66.903,115.027,208.446,190.854,99.75,183.979,170.224,152.411,,POLYMED
Notes Receivable,2.461,1.869,0.284,1.242,1.576,2.278,1.371,3.33,3.416,2.977,2.3,POLYMED
Total Receivables,533.783,696.484,896.958,1071.582,1335.454,1476.958,1372.292,1745.94,2239.929,2509.708,2701.688,POLYMED
Inventory,420.104,576.224,460.004,619.46,729.89,837.909,1120.949,1264.82,1683.643,2086.548,2210.304,POLYMED
Prepaid Exp.,9.813,10.055,8.622,5.765,11.679,12.538,33.359,35.934,39.975,86.852,,POLYMED
Other Current Assets,101.943,112.439,123.128,127.216,166.424,142.944,241.562,251.713,354.115,374.078,640.282,POLYMED
Total Current Assets,1203.896,1595.032,1705.967,2049.2,2552.04,3016.706,3177.88,7041.083,7834.366,8070.061,8416.267,POLYMED
"Gross Property, Plant & Equipment",2080.348,2579.27,2912.823,3395.397,4203.742,4666.122,5621.734,6639.099,7952.13,10287.727,,POLYMED
Accumulated Depreciation,-749.3,-931.1,-1127.8,-1339.8,-1620.7,-1965.9,-2299.7,-2728.9,-3182.4,-3663.9,,POLYMED
"Net Property, Plant & Equipment",1331.098,1648.16,1785.014,2055.619,2583.07,2700.184,3322.013,3910.175,4769.697,6623.782,8889.367,POLYMED
Long-term Investments,35.105,39.787,45.36,38.025,80.295,92.153,253.887,508.584,204.151,89.709,275.702,POLYMED
Goodwill,,,,,,285.811,285.811,285.811,285.811,285.811,285.811,POLYMED
Other Intangibles,96.478,104.566,175.638,205.084,217.318,235.602,234.143,228.275,220.742,215.484,249.944,POLYMED
Loans Receivable Long-Term,0.478,0.14,,0.1,,,,,,,,POLYMED
Other Long-Term Assets,193.708,252.489,161.599,221.437,215.502,209.057,399.513,263.377,453.58,487.245,469.628,POLYMED
Total Assets,2860.763,3640.174,3873.578,4569.465,5648.225,6539.513,7673.247,12237.305,13768.347,15772.092,18586.719,POLYMED
LIABILITIES,,,,,,,,,,,,POLYMED
Accounts Payable,297.079,393.288,308.715,418.551,436.245,555.381,663.606,645.201,890.389,923.148,955.976,POLYMED
Accrued Exp.,96.423,114.271,136.227,142.508,178.834,201.783,212.677,264.497,300.848,379.137,5.719,POLYMED
Short-term Borrowings,101.013,210.502,334.559,322.99,322.362,454.748,531.76,388.199,587.207,1068.818,,POLYMED
Curr. Port. of LT Debt,182.158,175.1,179.441,208.14,215.115,238.683,347.093,320.383,284.266,220.509,1691.265,POLYMED
Curr. Port. of Leases,,,,,,,10.402,13.235,10.543,12.336,18.507,POLYMED
Curr. Income Taxes Payable,14.978,23.076,25.514,0.349,,32.474,10.704,7.122,,8.376,35.597,POLYMED
Other Current Liabilities,197.744,209.949,108.024,45.981,73.23,52.848,156.508,75.329,193.53,320.702,805.351,POLYMED
Total Current Liabilities,889.395,1126.186,1092.48,1138.519,1225.786,1535.917,1932.75,1713.966,2266.783,2933.026,3512.415,POLYMED
Long-Term Debt,386.467,402.456,310.628,476.248,791.158,913.797,1144.104,632.771,381.272,175.012,10.881,POLYMED
Long-Term Leases,,,,,,,32.832,19.663,3.796,13.493,20.87,POLYMED
"Unearned Revenue, Non-Current",,,,5.465,20.347,19.4,22.048,43.326,35.292,27.352,30.004,POLYMED
Pension & Other Post-Retire. Benefits,11.105,13.746,17.533,23.3,11.109,14.226,14.74,7.556,23.117,32.357,,POLYMED
"Def. Tax Liability, Non-Curr.",79.725,102.848,118.337,147.871,157.201,186.631,144.892,130.445,161.334,154.347,244.834,POLYMED
Other Non-Current Liabilities,29.488,33.193,48.312,62.683,59.67,55.841,33.643,33.873,21.939,20.233,67.18,POLYMED
Total Liabilities,1396.18,1678.429,1587.29,1854.086,2265.271,2725.812,3325.009,2581.6,2893.533,3355.82,3886.184,POLYMED
Common Stock,220.332,220.567,220.567,441.134,441.134,441.185,441.235,479.403,479.502,479.723,479.858,POLYMED
Additional Paid In Capital,2.398,8.36,8.36,,,3.467,6.934,3913.379,3912.701,3924.045,,POLYMED
Retained Earnings,1215.816,1696.056,2020.079,2249.656,2860.534,3286.259,3813.381,5155.136,6353.895,7890.969,,POLYMED
Treasury Stock,,,,,,,,,,,,POLYMED
Comprehensive Inc. and Other,26.061,36.787,37.308,24.615,81.312,82.79,86.688,107.787,128.716,121.535,14220.677,POLYMED
Total Common Equity,1464.607,1961.77,2286.314,2715.405,3382.98,3813.701,4348.238,9655.705,10874.814,12416.272,14700.535,POLYMED
Minority Interest,0,0,0,0,0,,,,,,,POLYMED
Total Equity,1464.583,1961.745,2286.288,2715.379,3382.954,3813.701,4348.238,9655.705,10874.814,12416.272,14700.535,POLYMED
Total Liabilities And Equity,2860.763,3640.174,3873.578,4569.465,5648.225,6539.513,7673.247,12237.305,13768.347,15772.092,18586.719,POLYMED
Supplemental Items,,,,,,,,,,,,POLYMED
Total Shares Out. on Filing Date,88.132844,88.22688,88.22688,88.22688,88.22688,88.23693,88.24698,95.880567,95.900342,95.944342,96.008146,POLYMED
Total Shares Out. on Balance Sheet Date,88.132844,88.22688,88.22688,88.22688,88.22688,88.23693,88.24698,95.880567,95.900342,95.944342,96.008146,POLYMED
Book Value/Share,16.618174,22.235513,25.914029,30.777524,38.344096,43.221143,49.273504,100.705547,113.39703,129.411195,153.11758,POLYMED
Tangible Book Value,1368.129,1857.204,2110.676,2510.321,3165.662,3292.288,3828.284,9141.619,10368.261,11914.977,14164.78,POLYMED
Tangible Book Value/Share,15.523486,21.050319,23.923275,28.453017,35.880924,37.311905,43.381473,95.343814,108.114953,124.186343,147.537272,POLYMED
Total Debt,669.638,788.058,824.628,1007.378,1328.635,1607.228,2066.191,1374.251,1267.084,1490.168,1741.523,POLYMED
Net Debt,531.385,588.228,607.373,782.201,1020.042,1060.871,1656.473,-2368.4,-2249.6,-1522.7,-1122.5,POLYMED
Debt Equiv. of Unfunded Proj. Benefit Obligation,18.241,22.57,28.387,25.583,13.106,16.403,17.132,10.122,13.506,18.963,,POLYMED
Debt Equivalent Oper. Leases,53.64,104.216,120.888,118.56,134.144,182.64,138.032,177.528,178.856,161.792,,POLYMED
Total Minority Interest,0,0,0,0,0,,,,,,,POLYMED
Equity Method Investments,34.311,39.548,44.221,32.772,46.992,50.338,72.347,94.034,97.688,76.42,71.287,POLYMED
Inventory Method,,,,,,,,,,,,POLYMED
Raw Materials Inventory,256.288,412.563,297.099,371.022,361.071,340.622,527.791,677.682,921.793,1096.088,,POLYMED
Work in Progress Inventory,40.21,81.849,59.342,99.031,170.7,252.907,248.69,234.2,256.159,335.641,,POLYMED
Finished Goods Inventory,109.487,71.01,92.858,109.945,153.063,202.671,288.182,290.398,437.146,593.618,,POLYMED
Other Inventory Accounts,14.119,10.802,10.705,39.462,45.056,41.709,56.286,62.54,68.545,61.201,,POLYMED
Land,159.694,220.393,220.826,252.932,245.096,245.292,390.142,496.979,763.315,994.35,,POLYMED
Buildings,224.803,285.093,289.528,310.48,546.751,601.755,708.708,849.166,985.57,1672.729,,POLYMED
Machinery,1562.34,2032.27,2373.742,2714.289,3315.256,3725.433,4324.98,5123.85,5820.369,6870.075,,POLYMED
Construction in Progress,133.511,41.514,28.727,117.696,96.639,93.642,166.964,147.446,371.356,725.835,,POLYMED
Full Time Employees,,,,1661,1926,1952,2034,2039,2140,2339,,POLYMED
Accum. Allowance for Doubtful Accts,3.573,3.667,3.925,3.109,3.364,2.984,3.058,4.376,3.79,18.785,,POLYMED
Filing Date,,,,,,,,,,,,POLYMED
Restatement Type,,,,,,,,,,,,POLYMED
Calculation Type,,,,,,,,,,,,POLYMED
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,POLYMED
,,,,,,,,,,,,POLYMED
Cash And Equivalents,499.24,269.84,316.27,234.4,82.32,1790.59,1721.62,2378.03,1216.91,1527.52,4023.58,POLYCAB
Short Term Investments,,,191,67.17,24.1,375,90.47,2934.28,2834.8,5410.66,18224.17,POLYCAB
Trading Asset Securities,,,,,3.3,7.4,409.19,6233.69,7640.51,13504.95,,POLYCAB
Total Cash & ST Investments,499.24,269.84,507.27,301.57,109.72,2172.99,2221.28,11546,11692.22,20443.13,22247.75,POLYCAB
Accounts Receivable,9578.22,10868.9,13534.25,12137.89,13048.46,13596.09,14653.21,14498.69,13059.03,12601.5,20471.17,POLYCAB
Other Receivables,8.89,5.06,50.99,59.79,50.07,474.96,167.96,120.1,81.59,178.57,,POLYCAB
Notes Receivable,7.95,12.66,10.32,15.42,152.74,207.4,244.37,122.66,126.8,103.47,106.26,POLYCAB
Total Receivables,9595.06,10886.62,13595.56,12213.1,13251.27,14278.45,15065.54,14741.45,13267.42,12883.54,20577.43,POLYCAB
Inventory,6022.48,9039.81,10575.76,16351.2,14392.73,20810.78,19869.47,20799.63,25175.45,32584.61,36751.14,POLYCAB
Prepaid Exp.,73.74,37.06,19.61,43.9,85.68,73.44,67.69,58.57,60.4,29.27,,POLYCAB
Restricted Cash,,,,,,,0.96,,,,,POLYCAB
Other Current Assets,2255.51,2271.78,1819.71,2151.7,1419.66,1906.17,3274.24,580.78,1215.87,3146.94,7563.29,POLYCAB
Total Current Assets,18446.03,22505.11,26517.91,31061.47,29259.06,39241.83,40499.18,47726.43,51411.36,69087.49,87139.61,POLYCAB
"Gross Property, Plant & Equipment",11678.26,13881.08,12240.93,15179.05,16892.48,19620.06,22970.34,27788.48,30018.98,34532.39,,POLYCAB
Accumulated Depreciation,-3033.8,-3913.5,-1076.5,-2306.7,-3588.3,-4969.2,-6355.2,-8195.8,-9742.9,-11558.6,,POLYCAB
"Net Property, Plant & Equipment",8644.46,9967.54,11164.41,12872.37,13304.16,14650.83,16615.15,19592.67,20276.11,22973.77,28190.29,POLYCAB
Long-term Investments,0.2,0.2,7.81,346.72,318.3,303.23,268.94,697.88,218.86,6.43,,POLYCAB
Goodwill,1.47,,,,,,,22.58,46.22,46.22,46.22,POLYCAB
Other Intangibles,12.39,50.9,66.64,60.3,27.04,34.98,16.76,71.25,183.4,157.08,160.17,POLYCAB
Accounts Receivable Long-Term,,68.27,351.92,483.18,880,1351.27,1660.47,1283.6,799.31,526.37,1190.7,POLYCAB
Loans Receivable Long-Term,,,,,,50.88,53.41,,,,,POLYCAB
"Deferred Tax Assets, LT",,,,0.7,0.1,,10.13,0.11,0.09,13.45,128.69,POLYCAB
"Deferred Charges, LT",0.12,0.81,,,,,,,,,,POLYCAB
Other Long-Term Assets,524.28,546.39,638.71,963.34,692.45,649.93,491.9,752.59,1183.71,1443.95,3933.16,POLYCAB
Total Assets,27628.95,33139.22,38747.4,45788.08,44481.11,56282.95,59615.94,70147.11,74119.06,94254.76,120788.84,POLYCAB
LIABILITIES,,,,,,,,,,,,POLYCAB
Accounts Payable,6598.77,9631.59,10565.83,13542.71,9220.87,15201.82,13536.83,13480.32,12175.3,20326.44,10013.59,POLYCAB
Accrued Exp.,417.26,579.9,991.35,1148.56,349.93,927.04,273.48,693.29,875.1,937.49,,POLYCAB
Short-term Borrowings,4577.32,5455.04,6947.92,6590.32,5687.45,1030.71,1114.53,889.64,765.44,1482.92,,POLYCAB
Curr. Port. of LT Debt,,,0.1,349.13,726.1,804.23,349.5,560.45,36.17,26.43,671.7,POLYCAB
Curr. Port. of Leases,,,,,,,29.71,111.83,105.37,138.96,468.23,POLYCAB
Curr. Income Taxes Payable,145.37,386.94,108.96,337.37,852.51,1671.91,1191.61,283.44,159.52,348.87,125.44,POLYCAB
"Unearned Revenue, Current",,,216.2,390.8,777.02,1415.23,1407.77,1805.39,1435.57,905.32,,POLYCAB
Other Current Liabilities,743.62,500.19,667.61,901.23,930.29,5138.48,2187.47,2321.42,1860.82,2099.18,24499.99,POLYCAB
Total Current Liabilities,12482.34,16553.66,19497.97,23260.12,18544.17,26189.42,20090.9,20145.78,17413.29,26265.61,35778.95,POLYCAB
Long-Term Debt,,,1008.54,1617.65,1589.49,889.25,106.55,1036.76,29.74,42.08,226.04,POLYCAB
Long-Term Leases,,,,,,,301.84,226.34,244.76,224.33,244.96,POLYCAB
"Unearned Revenue, Non-Current",,,103.42,194.63,182.2,163.29,99.55,258.31,160.07,139.88,,POLYCAB
Pension & Other Post-Retire. Benefits,38.66,62.83,70.98,90.23,95.1,95.71,163.16,168.33,141.09,149.6,,POLYCAB
"Def. Tax Liability, Non-Curr.",282.67,219.59,210.6,657.39,553.47,231.02,174.94,418.14,271.84,422.68,543.71,POLYCAB
Other Non-Current Liabilities,,,,,,160.46,164.85,165.76,170.16,325.44,1561.77,POLYCAB
Total Liabilities,12803.67,16836.08,20891.51,25820.02,20964.43,27729.15,21101.79,22419.42,18430.95,27569.62,38355.43,POLYCAB
Common Stock,706.03,1412.06,1412.06,1412.06,1412.06,1412.06,1488.79,1491.19,1494.43,1497.65,1502.36,POLYCAB
Additional Paid In Capital,3911.62,3205.59,3205.6,3205.6,3205.6,3057.32,7149.55,7318.1,7554.95,7822.56,,POLYCAB
Retained Earnings,9556.54,11684.33,13205.16,15324.49,18856.59,23849.23,29581.59,38438.28,46048.29,56679.54,,POLYCAB
Treasury Stock,,,,,,,,,,,,POLYCAB
Comprehensive Inc. and Other,651.09,1.16,5.1,-4.6,1.94,150.94,144.22,291.83,339.74,311.62,80368.98,POLYCAB
Total Common Equity,14825.28,16303.14,17827.92,19937.55,23476.19,28469.55,38364.15,47539.4,55437.41,66311.37,81871.34,POLYCAB
Minority Interest,,,27.97,30.51,40.49,84.25,150,188.29,250.7,373.77,562.07,POLYCAB
Total Equity,14825.28,16303.14,17855.89,19968.06,23516.68,28553.8,38514.15,47727.69,55688.11,66685.14,82433.41,POLYCAB
Total Liabilities And Equity,27628.95,33139.22,38747.4,45788.08,44481.11,56282.95,59615.94,70147.11,74119.06,94254.76,120788.84,POLYCAB
Supplemental Items,,,,,,,,,,,,POLYCAB
Total Shares Out. on Filing Date,141.205838,141.205838,141.205838,141.205838,141.205838,141.205838,148.879373,149.118814,149.44304,149.765278,150.236,POLYCAB
Total Shares Out. on Balance Sheet Date,141.205838,141.205838,141.205838,141.205838,141.205838,141.205838,148.879373,149.118814,149.44304,149.765278,150.236,POLYCAB
Book Value/Share,104.990559,115.456557,126.254836,141.194941,166.255094,201.617372,257.686133,318.80216,370.960133,442.76865,544.951542,POLYCAB
Tangible Book Value,14811.42,16252.24,17761.28,19877.25,23449.15,28434.57,38347.39,47445.57,55207.79,66108.07,81664.95,POLYCAB
Tangible Book Value/Share,104.892405,115.096091,125.782901,140.767905,166.063601,201.369648,257.573559,318.17293,369.423627,441.411192,543.57777,POLYCAB
Total Debt,4577.32,5455.04,7956.56,8557.1,8003.04,2724.19,1902.13,2825.02,1181.48,1914.72,1610.93,POLYCAB
Net Debt,4078.08,5185.2,7449.29,8255.53,7893.32,551.2,-319.2,-8721,-10510.7,-18528.4,-20636.8,POLYCAB
Debt Equiv. of Unfunded Proj. Benefit Obligation,88.32,118.89,144,164.85,182.88,196.01,275.35,270.55,259.64,277.52,,POLYCAB
Debt Equivalent Oper. Leases,226.64,398.8,850,1103.28,1263.84,1529.36,644.72,565.2,533.28,456.72,,POLYCAB
Total Minority Interest,,,27.97,30.51,40.49,84.25,150,188.29,250.7,373.77,562.07,POLYCAB
Equity Method Investments,,,,327.01,314.06,293.85,254.77,118.18,92.63,,,POLYCAB
Inventory Method,,,,,,,,,,,,POLYCAB
Raw Materials Inventory,992.05,2808.21,3163.2,6335.65,5453.25,10580.28,7424.47,8702.02,5921.99,13710.83,,POLYCAB
Work in Progress Inventory,2350.51,1114.98,977.91,1263.49,1055.78,1416.42,2086.44,1417.27,2208.54,2197.14,,POLYCAB
Finished Goods Inventory,2530.71,4910.23,5445.65,7398.92,6932.25,7582.65,9348.09,9232.16,13076.31,12833.39,1140.21,POLYCAB
Other Inventory Accounts,149.21,206.39,217.41,200.09,215.7,378.5,390.54,527.65,789.63,772.48,35610.93,POLYCAB
Land,810.77,901.45,986.35,1063.68,1062.15,1066.47,1018.21,1321.15,1098.98,1091.24,,POLYCAB
Buildings,3168.15,3678.79,4244.13,5034.16,5550.87,6474.55,7168.77,9211.29,9124.07,12580.52,,POLYCAB
Machinery,6540.35,7505.17,5626.58,7429.26,8916.28,10145.13,11921.88,15749.76,15507.43,17783.78,,POLYCAB
Construction in Progress,1157.3,1793.98,1380.75,1648.8,1359.93,1929.97,2411.78,990.5,3754.5,2507.67,,POLYCAB
