Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Other Non-Operating Inc. (Exp.),,,0,,,,,,0,,SBILIFE
EBT Excl. Unusual Items,9345.1,9998.8,11541.7,14224.5,16415.5,17902.9,16400.2,16869.2,19058.5,20777.9,SBILIFE
Impairment of Goodwill,,,,,,,,,,,SBILIFE
Other Unusual Items,,,,,,,,,,,SBILIFE
EBT Incl. Unusual Items,9345.1,9998.8,11541.7,14224.5,16415.5,17902.9,16400.2,16869.2,19058.5,20777.9,SBILIFE
Income Tax Expense,1242.4,1628.8,1997.5,2720.6,3147.6,3681.1,1841.7,1809.2,1852.8,1840.1,SBILIFE
Earnings from Cont. Ops.,8102.7,8370.1,9544.2,11503.9,13268,14221.8,14558.5,15060,17205.7,18937.8,SBILIFE
Earnings of Discontinued Ops.,,,,,,,,,,,SBILIFE
Extraord. Item & Account. Change,,,,,,,,,,,SBILIFE
Net Income to Company,8102.7,8370.1,9544.2,11503.9,13268,14221.8,14558.5,15060,17205.7,18937.8,SBILIFE
Minority Int. in Earnings,,,,,,,,,,,SBILIFE
Net Income,8102.7,8370.1,9544.2,11503.9,13268,14221.8,14558.5,15060,17205.7,18937.8,SBILIFE
Pref. Dividends and Other Adj.,,,,,,,,,,,SBILIFE
NI to Common Incl Extra Items,8102.7,8370.1,9544.2,11503.9,13268,14221.8,14558.5,15060,17205.7,18937.8,SBILIFE
NI to Common Excl. Extra Items,8102.7,8370.1,9544.2,11503.9,13268,14221.8,14558.5,15060,17205.7,18937.8,SBILIFE
Per Share Items,,,,,,,,,,,SBILIFE
Basic EPS,8.1,8.4,9.5,11.5,13.3,14.2,14.6,15.1,17.2,18.9,SBILIFE
Basic EPS Excl. Extra Items,8.1,8.4,9.5,11.5,13.3,14.2,14.6,15.1,17.2,18.9,SBILIFE
Weighted Avg. Basic Shares Out.,1000,1000,1000,1000,1000,1000,1000,1000.2,1000.6,1000.9,SBILIFE
Diluted EPS,8.1,8.4,9.5,11.5,13.3,14.2,14.6,15,17.2,18.9,SBILIFE
Diluted EPS Excl. Extra Items,8.1,8.4,9.5,11.5,13.3,14.2,14.6,15,17.2,18.9,SBILIFE
Weighted Avg. Diluted Shares Out.,1000,1000,1000,1000,1000,1000.4,1000.4,1001,1001.4,1002,SBILIFE
Normalized Basic EPS,5.8,6.2,7.2,8.9,10.3,11.2,10.2,10.5,11.9,13,SBILIFE
Normalized Diluted EPS,5.8,6.2,7.2,8.9,10.3,11.2,10.2,10.5,11.9,13,SBILIFE
Dividends per Share,1.2,1.2,1.5,2,2,,2.5,2,2.5,2.7,SBILIFE
Payout Ratio %,0.1,0.1,0.1,0.1,0.2,0.1,,0.2,0.3,0.1,SBILIFE
Supplemental Items,,,,,,,,,,,SBILIFE
EBITDA,9391,10050.5,12069.2,14878.2,17409.2,18888.1,17477.3,17718.3,19735.8,21354.3,SBILIFE
EBITA,9388,10047.7,11593.6,14285.1,16492.2,17987.7,16483.4,16969.4,19159.3,20777.9,SBILIFE
EBIT,9388,10047.7,11593.6,14285.1,16492.2,17987.7,16483.4,16969.4,19159.3,20777.9,SBILIFE
EBITDAR,9773.4,10466.4,12566.2,15463.8,18041.3,19661.6,18333.6,18611.6,20674.2,,SBILIFE
Effective Tax Rate %,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,SBILIFE
Current Domestic Taxes,1236.6,1660.3,,,,,,,,,SBILIFE
"Interest and Div. Income, Total",91769.7,103585.9,109027.1,131938.2,153406.8,162676.5,171281.4,186462.6,292123.9,346998.6,SHRIRAMFIN
"Interest Expense, Total",45090.8,49561,50576.6,63664.8,75112.6,82702.6,90542.6,97343.1,129312.7,155217.6,SHRIRAMFIN
Net Interest Income,46679,54024.8,58450.5,68273.4,78294.2,79973.9,80738.8,89119.5,162811.2,191781,SHRIRAMFIN
Commission And Fees,,,,1521.1,1266,1949.7,1158.6,1000.8,2665.7,5422.4,SHRIRAMFIN
Asset Management Fee,,,,,,,,,,,SHRIRAMFIN
Mortgage Banking,,,,,,,,,,,SHRIRAMFIN
Credit Card Fee,,,,,,,,,,,SHRIRAMFIN
Loan Servicing Revenue,,,,,,,,,,,SHRIRAMFIN
"Gain (Loss) on Sale of Invest., Total (Rev)",,,,39.9,374.8,178,228.7,2368.3,3973.5,,SHRIRAMFIN
Other Revenue,25.4,33.1,16.8,862.7,210.7,76.4,739.4,2218.4,2630.8,6831.1,SHRIRAMFIN
Revenue Before Loan Losses,46704.4,54057.9,58467.4,70697,80145.7,82178,82865.5,94707,172081.2,204034.5,SHRIRAMFIN
Provision For Loan Losses,6372.1,10025.9,12032.8,17162.8,24505.1,,31282.9,33727.2,38347,45523.3,SHRIRAMFIN
Total Revenue,40332.3,44032.1,46434.6,53534.3,55640.6,82178,51582.6,60979.8,133734.2,158511.2,SHRIRAMFIN
Salaries and Other Empl. Benefits,5040.2,6234.9,5829.3,7447,8830.6,10108.2,9062.5,9970.9,26364.2,34715.2,SHRIRAMFIN
Cost of Services Provided,2155.3,1987.2,1788.6,1544.5,2729,1882.8,2103.8,2578.6,6577.6,4414.1,SHRIRAMFIN
Depreciation & Amort.,431.5,376.3,348.7,368.3,429.7,1410.5,1373.6,1353.7,6006.9,5876,SHRIRAMFIN
Amort. of Goodwill and Intangibles,,,,,,,,,,,SHRIRAMFIN
Provision for Bad Debts,9750.1,11042.1,12410.4,,,,,,,,SHRIRAMFIN
Other Operating Exp.,6455.7,6495.2,6674.3,6968.1,6612.6,34459.5,6355,11617.8,12379.9,13904.2,SHRIRAMFIN
Total Operating Exp.,23832.9,26135.7,27051.4,16328,18601.9,47861,18894.9,25521,51328.6,58909.5,SHRIRAMFIN
Operating Income,16499.4,17896.3,19383.2,37206.3,37038.7,34317,32687.7,35458.8,82405.6,99601.7,SHRIRAMFIN
Income/(Loss) from Affiliates,,,,25.4,116.9,104.3,115.7,131.7,85.6,77.8,SHRIRAMFIN
Other Non-Operating Inc. (Exp.),,,,519.2,748.5,58,54.5,40,158.2,,SHRIRAMFIN
EBT Excl. Unusual Items,16499.4,17896.3,19383.2,37750.9,37904.1,34479.3,32857.9,35630.5,82649.4,99679.5,SHRIRAMFIN
Impairment of Goodwill,,,,,,,,,,,SHRIRAMFIN
Gain (Loss) on Sale of Invest.,,,,0.1,0.6,,42.2,20,-46.4,,SHRIRAMFIN
Gain (Loss) On Sale Of Assets,-3.9,-3.5,-2.7,-3.1,-5.1,11.7,-6.5,-7.9,-10,,SHRIRAMFIN
Asset Writedown,,,,,,,2.2,-18.4,-370.2,,SHRIRAMFIN
Other Unusual Items,,,,1234.8,,,,,,,SHRIRAMFIN
EBT Incl. Unusual Items,16495.6,17892.8,19380.5,38982.6,37899.6,34491,32895.8,35624.2,82222.8,99679.5,SHRIRAMFIN
Income Tax Expense,6211.1,6056.6,6724.2,13493.3,12142.8,9368.3,7907.5,8413.2,22022.5,25690.6,SHRIRAMFIN
Earnings from Cont. Ops.,10284.4,11836.2,12656.3,25489.3,25756.8,25122.7,24988.3,27211,60200.3,73988.9,SHRIRAMFIN
Earnings of Discontinued Ops.,,,,,,,,,,,SHRIRAMFIN
Extraord. Item & Account. Change,,,,,,,,,,,SHRIRAMFIN
Net Income to Company,10284.4,11836.2,12656.3,25489.3,25756.8,25122.7,24988.3,27211,60200.3,73988.9,SHRIRAMFIN
Minority Int. in Earnings,,,,,,,,,-89.9,-325.1,SHRIRAMFIN
Net Income,10284.4,11836.2,12656.3,25489.3,25756.8,25122.7,24988.3,27211,60110.4,73663.8,SHRIRAMFIN
Pref. Dividends and Other Adj.,,,,,,,,,,,SHRIRAMFIN
NI to Common Incl Extra Items,10284.4,11836.2,12656.3,25489.3,25756.8,25122.7,24988.3,27211,60110.4,73663.8,SHRIRAMFIN
NI to Common Excl. Extra Items,10284.4,11836.2,12656.3,25489.3,25756.8,25122.7,24988.3,27211,60110.4,73663.8,SHRIRAMFIN
Per Share Items,,,,,,,,,,,SHRIRAMFIN
Basic EPS,45.3,52.2,55.8,112.4,113.5,110.7,101.5,102.2,160.6,196.3,SHRIRAMFIN
Basic EPS Excl. Extra Items,45.3,52.2,55.8,112.4,113.5,110.7,101.5,102.2,160.6,196.3,SHRIRAMFIN
Weighted Avg. Basic Shares Out.,226.9,226.9,226.9,226.9,226.9,226.9,246.3,266.2,374.4,375.2,SHRIRAMFIN
Diluted EPS,45.3,52.2,55.8,112.4,113.5,110.7,101.4,102.2,159.8,195.7,SHRIRAMFIN
Diluted EPS Excl. Extra Items,45.3,52.2,55.8,112.4,113.5,110.7,101.4,102.2,159.8,195.7,SHRIRAMFIN
Weighted Avg. Diluted Shares Out.,226.9,226.9,226.9,226.9,226.9,226.9,246.3,266.2,376.1,376.4,SHRIRAMFIN
Normalized Basic EPS,45.5,49.3,53.4,104,104.4,95,83.4,83.7,137.7,165.2,SHRIRAMFIN
Normalized Diluted EPS,45.5,49.3,53.4,104,104.4,95,83.4,83.7,137.1,164.6,SHRIRAMFIN
Dividends per Share,10,10,10,11,12,5,18,20,35,45,SHRIRAMFIN
Payout Ratio %,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.3,SHRIRAMFIN
Interest Income On Loans,2079743.4,2206327.5,2304471,2289702.8,2533221.7,2698516.6,2781154.8,2899726.9,3508445.8,4391885.1,SBIN
Total Interest Income,2079743.4,2206327.5,2304471,2289702.8,2533221.7,2698516.6,2781154.8,2899726.9,3508445.8,4391885.1,SBIN
Interest On Deposits,1331786.4,1430473.6,1491146.7,1466029.8,1558674.6,1611238,1560101.7,1561943.4,1899808.2,2597360.5,SBIN
Total Interest Expense,1331786.4,1430473.6,1491146.7,1466029.8,1558674.6,1611238,1560101.7,1561943.4,1899808.2,2597360.5,SBIN
Net Interest Income,747957,775853.9,813324.3,823672.9,974547.1,1087278.6,1221053.1,1337783.4,1608637.6,1794524.6,SBIN
Credit Card Fee,7508.1,9810.9,14158.9,21264.9,31797.8,41221.5,39153.6,52696.8,68004.1,82638.1,SBIN
Gain (Loss) On Sale Of Assets (Rev),-512.9,-210.5,-438.1,-307.3,-323.6,-283.4,-283.4,-164,-290.3,-252.1,SBIN
Gain on Sale of Invest. & Secur (Rev),114580.1,63088.5,137784.3,130494.8,18091,92027.1,74993,59299.1,2354.8,137828.7,SBIN
Total Other Non-Interest Income,371576.4,455595,530426.6,624121.6,724086.6,848624.7,958360.9,1058172.2,1155267.1,1333649.1,SBIN
Non-Oper. Income (Exp.),,,,,,,,,,,SBIN
Total Non Interest Income,493151.7,528283.9,681931.7,775573.9,773651.9,981589.9,1072224.1,1170004,1225335.6,1553863.9,SBIN
Revenue Before Loan Losses,1241108.6,1304137.8,1495255.9,1599246.8,1748199,2068868.5,2293277.2,2507787.5,2833973.2,3348388.6,SBIN
Provision For Loan Losses,250436,379297.7,612908.8,760150.8,569505.2,569284.6,546184.1,266766.9,181842.8,77049.8,SBIN
Total Revenue,990672.7,924840,882347.1,839096.1,1178693.8,1499583.9,1747093.1,2241020.6,2652130.5,3271338.8,SBIN
Salaries and Other Empl. Benefits,311176.1,325256,356912,354106.2,437950.1,488505.4,543308.3,614451.3,619209.1,765711.9,SBIN
Amort. of Goodwill & Intang. Assets,,,,,,,,,,,SBIN
Occupancy Expense,68186.3,79890.6,90565.5,94695.5,101067.5,104137.9,103847,106180.5,111042.5,118441.2,SBIN
"Selling General & Admin Exp., Total",27527.5,25894.7,28562.5,40771.2,44196.2,48099.7,42334.9,48592.5,58104.7,62511.6,SBIN
(Income)/Loss from Affiliates,-3144.4,-2758.2,-2932.8,-4381.6,-2814.8,-29631.4,3919,-8270.1,-11914.5,-14051.5,SBIN
Total Other Non-Interest Expense,325352.5,312030.4,396858.8,471972.3,564789.2,677072.6,814805.9,974410,1109788.6,1341273.7,SBIN
Total Non-Interest Expense,729098,740313.6,869966,957163.6,1145188.3,1288184.2,1508215,1735364.1,1886230.3,2273886.8,SBIN
EBT Excl. Unusual Items,261574.7,184526.5,12381.1,-118067.5,33505.5,211399.7,238878.1,505656.4,765900.1,997452,SBIN
Impairment of Goodwill,,,,,,,,,,,SBIN
Other Unusual Items,,,,,,,,,,-71000,SBIN
EBT Incl. Unusual Items,261574.7,184526.5,12381.1,-118067.5,33505.5,211399.7,238878.1,505656.4,765900.1,926452,SBIN
Income Tax Expense,83256.6,54335.4,13355,-80575,,,,133824.6,188401.3,231017.8,SBIN
Earnings from Cont. Ops.,178318.1,130191.1,-973.9,-37492.5,33505.5,211399.7,238878.1,371831.8,577498.8,695434.2,SBIN
Earnings of Discontinued Ops.,,,,,,,,,,,SBIN
Extraord. Item & Account. Change,,,,,,,,,,,SBIN
Net Income to Company,178318.1,130191.1,-973.9,-37492.5,33505.5,211399.7,238878.1,371831.8,577498.8,695434.2,SBIN
Minority Int. in Earnings,-8375.1,-7945.1,3386.2,-8070.4,-10509.1,-13721.7,-14823.6,-18093,-21017.1,-24587.5,SBIN
Net Income,169943,122246,2412.3,-45562.9,22996.4,197678,224054.6,353738.8,556481.7,670846.7,SBIN
Pref. Dividends and Other Adj.,,,,,,,,,,,SBIN
NI to Common Incl Extra Items,169943,122246,2412.3,-45562.9,22996.4,197678,224054.6,353738.8,556481.7,670846.7,SBIN
NI to Common Excl. Extra Items,169943,122246,2412.3,-45562.9,22996.4,197678,224054.6,353738.8,556481.7,670846.7,SBIN
Per Share Items,,,,,,,,,,,SBIN
Basic EPS,22.8,15.9,0.3,-5.3,2.6,22.1,25.1,39.6,62.4,75.2,SBIN
Basic EPS Excl. Extra Items,22.8,15.9,0.3,-5.3,2.6,22.1,25.1,39.6,62.4,75.2,SBIN
Weighted Avg. Basic Shares Out.,7465.7,7665.6,7803.8,8533.1,8924.6,8924.6,8924.6,8924.6,8924.6,8924.6,SBIN
Diluted EPS,22.8,15.9,0.3,-5.3,2.6,22.1,25.1,39.6,62.3,75.2,SBIN
Diluted EPS Excl. Extra Items,22.8,15.9,0.3,-5.3,2.6,22.1,25.1,39.6,62.3,75.2,SBIN
Weighted Avg. Diluted Shares Out.,7466,7665.6,7803.8,8533.1,8924.6,8924.6,8924.6,8924.6,8924.6,8924.6,SBIN
Normalized Basic EPS,20.8,14,1.4,-9.6,1.2,13.3,15.1,33.4,51.3,67.1,SBIN
Normalized Diluted EPS,20.8,14,1.4,-9.6,1.2,13.3,15.1,33.4,51.3,67.1,SBIN
Dividends per Share,3.5,2.6,2.6,,,,4,7.1,11.3,13.7,SBIN
Payout Ratio %,0.1,0.3,9.7,,,,,0.1,0.1,0.2,SBIN
Shares per Depository Receipt,10,10,10,10,10,10,10,10,10,10,SBIN
Supplemental Items,,,,,,,,,,,SBIN
Effective Tax Rate %,0.3,0.3,1.1,,,,,0.3,0.2,0.2,SBIN
Total Current Taxes,93753,53503.6,54272.4,17584,19820.2,43727.7,122780.8,128593.2,231826.5,253612.8,SBIN
Revenue,273920.1,281086.1,313081.4,264155.4,290659.1,328375,334981.4,386544.9,438856.8,477584.5,SUNPHARMA
Other Revenue,,,,,,,,,,7384,SUNPHARMA
Total Revenue,273920.1,281086.1,313081.4,264155.4,290659.1,328375,334981.4,386544.9,438856.8,484968.5,SUNPHARMA
Cost Of Goods Sold,71363.4,63664.7,82701.4,77770.7,83838.9,96796.3,92185.2,108761.4,113186.7,106626.1,SUNPHARMA
Gross Profit,202556.7,217421.4,230380,186384.7,206820.2,231578.7,242796.2,277783.5,325670.1,378342.4,SUNPHARMA
Selling General & Admin Exp.,46483.2,49076.3,50284.7,54814.3,61027.4,63985.9,69042.1,73543.7,83549,94290.6,SUNPHARMA
Provision for Bad Debts,,,,,,,,,,,SUNPHARMA
R & D Exp.,,,,,,,,,,,SUNPHARMA
Depreciation & Amort.,11923.6,10351.7,12623.6,14975.4,17503.6,20527.8,20799.5,21437.4,25294.3,25566.4,SUNPHARMA
Other Operating Expense/(Income),74491.9,82607.6,81751.4,75694.8,80916.1,97587.3,88678.4,101330.7,123779.3,154181.8,SUNPHARMA
"Other Operating Exp., Total",132898.7,142035.6,144659.7,145484.5,159447.1,182101,178520,196311.8,232622.6,274038.8,SUNPHARMA
Operating Income,69658,75385.8,85720.3,40900.2,47373.1,49477.7,64276.2,81471.7,93047.5,104303.6,SUNPHARMA
Interest Expense,-3007.3,-4694.4,-3560.2,-4909.9,-5505.8,-3027.3,-1414.3,-1273.5,-1720,-2384.7,SUNPHARMA
Interest and Invest. Income,2568.3,4075.1,4132.2,5569.2,6915.9,4108,4671.7,7687,5309.9,,SUNPHARMA
Net Interest Exp.,-439,-619.3,572,659.3,1410.1,1080.7,3257.4,6413.5,3589.9,-2384.7,SUNPHARMA
Income/(Loss) from Affiliates,-125.6,14.5,99.3,-254.4,-14.6,-148.3,-123.3,-165.4,-479,-384.1,SUNPHARMA
Currency Exchange Gains (Loss),-3683.6,-2925,3730.7,-82.5,-932,156.1,236.5,1539.6,-1261,361.3,SUNPHARMA
Other Non-Operating Inc. (Exp.),154.4,673.9,439.2,2061.8,1483.5,1827.5,2894.8,735.9,756.5,13541.9,SUNPHARMA
EBT Excl. Unusual Items,65564.2,72529.9,90561.5,43284.4,49320.1,52393.7,70541.6,89995.3,95653.9,115438,SUNPHARMA
Restructuring Charges,,-6851.7,,,,,,-563.5,,-232.1,SUNPHARMA
Merger & Related Restruct. Charges,,,,,,,,,-643.9,,SUNPHARMA
Impairment of Goodwill,-1001.1,,,,,,,,,,SUNPHARMA
Gain (Loss) On Sale Of Invest.,1910.8,-166.8,194.5,725.7,1433.5,0.4,260,7.7,-240.3,,SUNPHARMA
Gain (Loss) On Sale Of Assets,-267.5,435.9,-108.8,-201.6,-665.6,-52.2,138.8,347.5,75.4,,SUNPHARMA
Asset Writedown,,-511.2,-203.6,-26.7,-12.9,-1.5,-155.5,-2090.3,-302.5,-1492.1,SUNPHARMA
Insurance Settlements,74.5,284.7,134.4,258.6,156.1,213.6,146.9,170.1,133.3,,SUNPHARMA
Legal Settlements,-2377.5,,,-9505,-12143.8,-1042.8,-895.6,-1562.5,,,SUNPHARMA
Other Unusual Items,,,,,,-1563.6,-42165.8,-41656.5,-1070.6,-3219,SUNPHARMA
EBT Incl. Unusual Items,63903.4,65720.8,90578,34535.4,38087.4,49947.6,27870.4,44647.8,93605.3,110494.8,SUNPHARMA
Income Tax Expense,9146.9,9137.7,12115.7,9110.4,6008.8,8228,5146.9,10755,8475.9,14394.5,SUNPHARMA
Earnings from Cont. Ops.,54756.5,56583.1,78462.3,25425,32078.6,41719.6,22723.5,33892.8,85129.4,96100.3,SUNPHARMA
Earnings of Discontinued Ops.,,,,,,,,,,,SUNPHARMA
Extraord. Item & Account. Change,,,,,,,,,,,SUNPHARMA
Net Income to Company,54756.5,56583.1,78462.3,25425,32078.6,41719.6,22723.5,33892.8,85129.4,96100.3,SUNPHARMA
Minority Int. in Earnings,-9362.7,-11126,-8818.6,-4468,-5424.4,-4070.3,6314.7,-1165.5,-393.6,-336.5,SUNPHARMA
Net Income,45393.8,45457.1,69643.7,20957,26654.2,37649.3,29038.2,32727.3,84735.8,95763.8,SUNPHARMA
Pref. Dividends and Other Adj.,,,,,,,,,,,SUNPHARMA
NI to Common Incl Extra Items,45393.8,45457.1,69643.7,20957,26654.2,37649.3,29038.2,32727.3,84735.8,95763.8,SUNPHARMA
NI to Common Excl. Extra Items,45393.8,45457.1,69643.7,20957,26654.2,37649.3,29038.2,32727.3,84735.8,95763.8,SUNPHARMA
Per Share Items,,,,,,,,,,,SUNPHARMA
Basic EPS,18.9,18.9,29,8.7,11.1,15.7,12.1,13.6,35.3,39.9,SUNPHARMA
Basic EPS Excl. Extra Items,18.9,18.9,29,8.7,11.1,15.7,12.1,13.6,35.3,39.9,SUNPHARMA
Weighted Avg. Basic Shares Out.,2404.9,2406.4,2403.3,2399.3,2399.3,2399.3,2399.3,2399.3,2399.3,2400.1,SUNPHARMA
Diluted EPS,18.9,18.9,29,8.7,11.1,15.7,12.1,13.6,35.3,39.9,SUNPHARMA
Diluted EPS Excl. Extra Items,18.9,18.9,29,8.7,11.1,15.7,12.1,13.6,35.3,39.9,SUNPHARMA
Weighted Avg. Diluted Shares Out.,2406.1,2407.4,2403.5,2399.4,2399.3,2399.3,2399.3,2399.3,2399.3,2400.1,SUNPHARMA
Normalized Basic EPS,13.1,14.2,19.9,9.4,10.6,12,21,23,24.8,29.9,SUNPHARMA
Normalized Diluted EPS,13.1,14.2,19.9,9.4,10.6,12,21,23,24.8,29.9,SUNPHARMA
Dividends per Share,3,1,3.5,2,2.8,4,7.5,10,11.5,13.5,SUNPHARMA
Revenue,946484.1,1086460,1179660,1231040,1464630,1569490,1641770,1917540,2254580,2408930,TCS
Other Revenue,,,,,,,,,,,TCS
Total Revenue,946484.1,1086460,1179660,1231040,1464630,1569490,1641770,1917540,2254580,2408930,TCS
Cost Of Goods Sold,685847.8,553480,644290,690960,805160,878570,932760,1087170,1294030,1438330,TCS
Gross Profit,260636.3,532980,535370,540080,659470,690920,709010,830370,960550,970600,TCS
Selling General & Admin Exp.,15725.3,,36850,39380,42620,27020,21310,21390,26550,31000,TCS
Provision for Bad Debts,124.6,,,,,,,,,,TCS
R & D Exp.,,,,,,,,,,,TCS
Depreciation & Amort.,17956.2,18880,19870,20140,20560,35290,40650,46040,50220,49850,TCS
Other Operating Expense/(Income),-184.5,225960,175240,175380,221730,242800,222230,278500,341410,296640,TCS
"Other Operating Exp., Total",33621.6,244840,231960,234900,284910,305110,284190,345930,418180,377490,TCS
Operating Income,227014.7,288140,303410,305180,374560,385810,424820,484440,542370,593110,TCS
Interest Expense,-1041.9,-330,-320,-520,-1980,-9240,-6370,-7840,-7790,-7780,TCS
Interest and Invest. Income,16061,17560,22640,24540,27800,35720,25120,26670,32630,38220,TCS
Net Interest Exp.,15019.1,17230,22320,24020,25820,26480,18750,18830,24840,30440,TCS
Currency Exchange Gains (Loss),13084.7,7420,12400,1630,9670,7270,2480,10450,-1590,2230,TCS
Other Non-Operating Inc. (Exp.),612.5,910,550,780,470,190,560,870,970,510,TCS
EBT Excl. Unusual Items,255731,313700,338680,331610,410520,419750,446610,514590,566590,626290,TCS
Impairment of Goodwill,,,,,,,,,,,TCS
Gain (Loss) On Sale Of Invest.,2331,4650,6420,9060,4270,2140,2040,1980,2240,3120,TCS
Gain (Loss) On Sale Of Assets,25.4,50,30,250,840,460,130,230,260,70,TCS
Legal Settlements,,,,,,,-12180,,,-9580,TCS
Other Unusual Items,4897.5,,,,,130,1000,70,-20,70,TCS
EBT Incl. Unusual Items,262984.9,318400,345130,340920,415630,422480,437600,516870,569070,619970,TCS
Income Tax Expense,62387.9,75020,81560,82120,100010,98010,111980,132380,146040,158980,TCS
Earnings from Cont. Ops.,200597,243380,263570,258800,315620,324470,325620,384490,423030,460990,TCS
Earnings of Discontinued Ops.,,,,,,,,,,,TCS
Extraord. Item & Account. Change,,,,,,,,,,,TCS
Net Income to Company,200597,243380,263570,258800,315620,324470,325620,384490,423030,460990,TCS
Minority Int. in Earnings,-2075.2,-680,-680,-540,-900,-1070,-1320,-1220,-1560,-1910,TCS
Net Income,198521.8,242700,262890,258260,314720,323400,324300,383270,421470,459080,TCS
Pref. Dividends and Other Adj.,,,,,,,,,,,TCS
NI to Common Incl Extra Items,198521.8,242700,262890,258260,314720,323400,324300,383270,421470,459080,TCS
NI to Common Excl. Extra Items,198521.8,242700,262890,258260,314720,323400,324300,383270,421470,459080,TCS
Per Share Items,,,,,,,,,,,TCS
Basic EPS,50.7,61.6,66.7,67.1,83,86.2,86.7,103.6,115.2,125.9,TCS
Basic EPS Excl. Extra Items,50.7,61.6,66.7,67.1,83,86.2,86.7,103.6,115.2,125.9,TCS
Weighted Avg. Basic Shares Out.,3917.5,3940.9,3940.9,3849.2,3789.7,3752.4,3740.1,3698.8,3659.1,3646.9,TCS
Diluted EPS,50.7,61.6,66.7,67.1,83,86.2,86.7,103.6,115.2,125.9,TCS
Diluted EPS Excl. Extra Items,50.7,61.6,66.7,67.1,83,86.2,86.7,103.6,115.2,125.9,TCS
Weighted Avg. Diluted Shares Out.,3917.5,3940.9,3940.9,3849.2,3789.7,3752.4,3740.1,3698.8,3659.1,3646.9,TCS
Normalized Basic EPS,40.3,49.6,53.5,53.7,67.5,69.6,74.3,86.6,96.4,106.8,TCS
Normalized Diluted EPS,40.3,49.6,53.5,53.7,67.5,69.6,74.3,86.6,96.4,106.8,TCS
Dividends per Share,19.5,21.8,23.5,25,30,33,38,43,48,55,TCS
Payout Ratio %,0.5,0.3,0.3,0.4,0.3,1,0.3,0.3,1,0.5,TCS
Supplemental Items,,,,,,,,,,,TCS
EBITDA,240104.1,307020,323280,325320,395120,408420,450470,514880,576250,625800,TCS
EBITA,227632.1,289110,304220,305550,374950,386700,425460,487990,547330,597900,TCS
Revenue,79933.9,66293.5,67712.1,68132.3,72515,96374.2,116020.3,124253.7,137831.6,152058.5,TATACONSUM
Other Revenue,,,,,,,,,,,TATACONSUM
Total Revenue,79933.9,66293.5,67712.1,68132.3,72515,96374.2,116020.3,124253.7,137831.6,152058.5,TATACONSUM
Cost Of Goods Sold,38971,36748.2,36148.8,37543.6,40708.3,54822.4,69880.3,71804.9,81259,87032.9,TATACONSUM
Gross Profit,40962.9,29545.3,31563.3,30588.7,31806.7,41551.8,46140,52448.8,56572.6,65025.6,TATACONSUM
Selling General & Admin Exp.,9546.1,14787.3,15188.4,14193.1,14402.9,16171.4,17586,11238,11959.9,13288.7,TATACONSUM
Provision for Bad Debts,,,,,,,,,,,TATACONSUM
R & D Exp.,,,,,,,,,,,TATACONSUM
Depreciation & Amort.,1331,1167.9,1260.4,1160.4,1225.7,2417.1,2547.4,2780.1,3040.8,3771.5,TATACONSUM
Other Operating Expense/(Income),23745.7,8443.8,8495.5,8188,9474.2,12636,13171.9,24241.1,26107.9,28987.2,TATACONSUM
"Other Operating Exp., Total",34622.8,24399,24944.3,23541.5,25102.8,31224.5,33305.3,38259.2,41108.6,46047.4,TATACONSUM
Operating Income,6340.1,5146.3,6619,7047.2,6703.9,10327.3,12834.7,14189.6,15464,18978.2,TATACONSUM
Interest Expense,-779,-898.3,-689.5,-293.1,-402.6,-698.1,-645.9,-650.9,-821.3,-1239.2,TATACONSUM
Interest and Invest. Income,677.1,703.8,659.7,482.6,662.8,652.8,747.2,875.1,1311.9,1686.2,TATACONSUM
Net Interest Exp.,-101.9,-194.5,-29.8,189.5,260.2,-45.3,101.3,224.2,490.6,447,TATACONSUM
Income/(Loss) from Affiliates,-108.8,-68.4,-88.5,-107.6,-168.5,-750.8,-633.3,-637.9,-263.8,-855.9,TATACONSUM
Currency Exchange Gains (Loss),67.3,27.7,-143.5,51.6,-187.7,101.6,19.8,146.5,9.6,32.4,TATACONSUM
Other Non-Operating Inc. (Exp.),-4.2,45.5,72.7,235.3,570,203.1,331.3,430.8,134.9,351.8,TATACONSUM
EBT Excl. Unusual Items,6192.5,4956.6,6429.9,7416,7177.9,9835.9,12653.8,14353.2,15835.3,18953.5,TATACONSUM
Restructuring Charges,-175.2,-184.8,-73,-651.3,-249,-104.2,-642.5,-461.7,-794.6,-142.4,TATACONSUM
Merger & Related Restruct. Charges,,-130.7,,,,-518.1,,-18,,-308.8,TATACONSUM
Impairment of Goodwill,,-2266.4,-273.4,,,-2229.4,,,,,TATACONSUM
Gain (Loss) On Sale Of Invest.,7.5,1.4,48.2,219,333.6,255,130,89.4,242,418.2,TATACONSUM
Gain (Loss) On Sale Of Assets,-10.1,,,,,,,,,,TATACONSUM
Asset Writedown,-953.8,-616.4,,,,,,,,-616.2,TATACONSUM
Legal Settlements,,-25.1,,,,,,,,,TATACONSUM
Other Unusual Items,-170.9,-105.4,399.4,440,-83.9,103.8,336,-40.9,2389.1,-2203,TATACONSUM
